type,participants
education,1
recreational,1
social,1
charity,1
cooking,1
relaxation,1
busywork,1
social,2
cooking,2
education,1
recreational,1
social,1
charity,1
cooking,1
relaxation,1
busywork,1
social,2
cooking,2
education,1
recreational,1
social,1
charity,1
cooking,1
relaxation,1
busywork,1
social,2
cooking,2
education,1
recreational,1
social,1
charity,1
cooking,1
relaxation,1
busywork,1
social,2
cooking,2
education,1
recreational,1
social,1
charity,1
cooking,1
relaxation,1
busywork,1
social,2
cooking,2
education,1
recreational,1
social,1
charity,1
cooking,1
relaxation,1
busywork,1
social,2
cooking,2
education,1
recreational,1
social,1
charity,1
cooking,1
relaxation,1
busywork,1
social,2
cooking,2
education,1
recreational,1
social,1
charity,1
cooking,1
relaxation,1
busywork,1
social,2
cooking,2
education,1
recreational,1
social,1
charity,1
cooking,1
relaxation,1
busywork,1
social,2
cooking,2
education,1
recreational,1
social,1
charity,1
cooking,1
relaxation,1
busywork,1
social,2
cooking,2
education,1
recreational,1
social,1
charity,1
cooking,1
relaxation,1
busywork,1
social,2
cooking,2
education,1
recreational,1
social,1
charity,1
cooking,1
relaxation,1
busywork,1
social,2
cooking,2
education,1
recreational,1
social,1
charity,1
cooking,1
relaxation,1
busywork,1
social,2
cooking,2
education,1
recreational,1
social,1
charity,1
cooking,1
relaxation,1
busywork,1
social,2
cooking,2
education,1
recreational,1
social,1
charity,1
cooking,1
relaxation,1
busywork,1
social,2
cooking,2
education,1
recreational,1
social,1
charity,1
cooking,1
relaxation,1
busywork,1
social,2
cooking,2
education,1
recreational,1
social,1
charity,1
cooking,1
relaxation,1
busywork,1
social,2
cooking,2
education,1
recreational,1
social,1
charity,1
cooking,1
relaxation,1
busywork,1
social,2
cooking,2
education,1
recreational,1
social,1
charity,1
cooking,1
relaxation,1
busywork,1
social,2
cooking,2
education,1
recreational,1
social,1
charity,1
cooking,1
relaxation,1
busywork,1
social,2
cooking,2
education,1
recreational,1
social,1
charity,1
cooking,1
relaxation,1
busywork,1
social,2
cooking,2
education,1
recreational,1
social,1
charity,1
cooking,1
relaxation,1
busywork,1
social,2
cooking,2
education,1
recreational,1
social,1
charity,1
cooking,1
relaxation,1
busywork,1
social,2
cooking,2
education,1
recreational,1
social,1
charity,1
cooking,1
relaxation,1
busywork,1
social,2
cooking,2
education,1
recreational,1
social,1
charity,1
cooking,1
relaxation,1
busywork,1
social,2
cooking,2
education,1
recreational,1
social,1
charity,1
cooking,1
relaxation,1
busywork,1
social,2
cooking,2
education,1
recreational,1
social,1
charity,1
cooking,1
relaxation,1
busywork,1
social,2
cooking,2
education,1
recreational,1
social,1
charity,1
cooking,1
relaxation,1
busywork,1
social,2
cooking,2
education,1
recreational,1
social,1
charity,1
cooking,1
relaxation,1
busywork,1
social,2
cooking,2
education,1
recreational,1
social,1
charity,1
cooking,1
relaxation,1
busywork,1
social,2
cooking,2
education,1
recreational,1
social,1
charity,1
cooking,1
relaxation,1
busywork,1
social,2
cooking,2
education,1
recreational,1
social,1
charity,1
cooking,1
relaxation,1
busywork,1
social,2
cooking,2
education,1
recreational,1
social,1
charity,1
cooking,1
relaxation,1
busywork,1
social,2
cooking,2
education,1
recreational,1
social,1
charity,1
cooking,1
relaxation,1
busywork,1
social,2
cooking,2
education,1
recreational,1
social,1
charity,1
cooking,1
relaxation,1
busywork,1
social,2
cooking,2
education,1
recreational,1
social,1
charity,1
cooking,1
relaxation,1
busywork,1
social,2
cooking,2
education,1
recreational,1
social,1
charity,1
cooking,1
relaxation,1
busywork,1
social,2
cooking,2
education,1
recreational,1
social,1
charity,1
cooking,1
relaxation,1
busywork,1
social,2
cooking,2
education,1
recreational,1
social,1
charity,1
cooking,1
relaxation,1
busywork,1
social,2
cooking,2
education,1
recreational,1
social,1
charity,1
cooking,1
relaxation,1
busywork,1
social,2
cooking,2
education,1
recreational,1
social,1
charity,1
cooking,1
relaxation,1
busywork,1
social,2
cooking,2
education,1
recreational,1
social,1
charity,1
cooking,1
relaxation,1
busywork,1
social,2
cooking,2
education,1
recreational,1
social,1
charity,1
cooking,1
relaxation,1
busywork,1
social,2
cooking,2
education,1
recreational,1
social,1
charity,1
cooking,1
relaxation,1
busywork,1
social,2
cooking,2
education,1
recreational,1
social,1
charity,1
cooking,1
relaxation,1
busywork,1
social,2
cooking,2
education,1
recreational,1
social,1
charity,1
cooking,1
relaxation,1
busywork,1
social,2
cooking,2
education,1
recreational,1
social,1
charity,1
cooking,1
relaxation,1
busywork,1
social,2
cooking,2
education,1
recreational,1
social,1
charity,1
cooking,1
relaxation,1
busywork,1
social,2
cooking,2
education,1
recreational,1
social,1
charity,1
cooking,1
relaxation,1
busywork,1
social,2
cooking,2
education,1
recreational,1
social,1
charity,1
cooking,1
relaxation,1
busywork,1
social,2
cooking,2
education,1
recreational,1
social,1
charity,1
cooking,1
relaxation,1
busywork,1
social,2
cooking,2
education,1
recreational,1
social,1
charity,1
cooking,1
relaxation,1
busywork,1
social,2
cooking,2
education,1
recreational,1
social,1
charity,1
cooking,1
relaxation,1
busywork,1
social,2
cooking,2
education,1
recreational,1
social,1
charity,1
cooking,1
relaxation,1
busywork,1
social,2
cooking,2
education,1
recreational,1
social,1
charity,1
cooking,1
relaxation,1
busywork,1
social,2
cooking,2
education,1
recreational,1
social,1
charity,1
cooking,1
relaxation,1
busywork,1
social,2
cooking,2
education,1
recreational,1
social,1
charity,1
cooking,1
relaxation,1
busywork,1
social,2
cooking,2
education,1
recreational,1
social,1
charity,1
cooking,1
relaxation,1
busywork,1
social,2
cooking,2
education,1
recreational,1
social,1
charity,1
cooking,1
relaxation,1
busywork,1
social,2
cooking,2
education,1
recreational,1
social,1
charity,1
cooking,1
relaxation,1
busywork,1
social,2
cooking,2
education,1
recreational,1
social,1
charity,1
cooking,1
relaxation,1
busywork,1
social,2
cooking,2
education,1
recreational,1
social,1
charity,1
cooking,1
relaxation,1
busywork,1
social,2
cooking,2
education,1
recreational,1
social,1
charity,1
cooking,1
relaxation,1
busywork,1
social,2
cooking,2
education,1
recreational,1
social,1
charity,1
cooking,1
relaxation,1
busywork,1
social,2
cooking,2
education,1
recreational,1
social,1
charity,1
cooking,1
relaxation,1
busywork,1
social,2
cooking,2
education,1
recreational,1
social,1
charity,1
cooking,1
relaxation,1
busywork,1
social,2
cooking,2
education,1
recreational,1
social,1
charity,1
cooking,1
relaxation,1
busywork,1
social,2
cooking,2
education,1
recreational,1
social,1
charity,1
cooking,1
relaxation,1
busywork,1
social,2
cooking,2
education,1
